"Ticker","Nome","Negócios","Última (R$)","Variação"
"BDLL3","Bardella","100","9,90","+0,00%"
"MAPT4","Cemepe","100","4,05","+0,00%"
"GSHP3","General Shopping & Outlets","100","2,95","+0,00%"
"LVTC3","WDC Networks","21.100","3,62","-0,82%"
"TKNO4","Tekno","1.100","175,00","+0,00%"
"ENMT4","Energisa MT","700","56,00","+0,11%"
"PSVM11","PORTO VM","600","6,00","+0,00%"
"COCE3","Coelce","500","35,00","-5,02%"
"IGTI4","Jereissati Participações","400","10,74","+2,38%"
"IGTI4","Iguatemi","400","10,74","+2,38%"
"EQMA3B","Equatorial Maranhão","300","31,00","-6,03%"
"FIEI3","Fica","200","22,20","+0,45%"
"ESTR4","Estrela","200","5,61","-6,50%"
"ENMT3","Energisa MT","100","58,50","+1,74%"
"AHEB3","São Paulo Turismo","100","27,75","-7,59%"
"CTSA3","Santanense","300","2,30","+3,60%"
"MRSA3B","MRS Logística","100","27,80","+0,00%"
"FESA3","Ferbasa","100","11,41","+0,00%"
"LUPA11","LUPA11","100","0,11","+0,00%"
"HBTS5","Habitasul","500","30,30","+0,66%"
"CRPG6","Tronox Pigmentos","300","13,60","-2,93%"
"ELET5","Eletrobras","200","78,75","+0,00%"
"FRIO3","Metalfrio","100","209,99","-8,70%"
"HETA4","Hercules","100","4,81","+0,00%"
"RPAD5","Alfa Holdings","2.400","7,72","-2,53%"
"AFLT3","Afluente T","600","7,30","-1,22%"
"CTKA3","Karsten","500","36,00","+2,86%"
"MWET4","Wetzel","200","10,20","+3,66%"
"RNEW11","Renova Energia","500","3,23","+0,00%"
"ESTR3","Estrela","200","5,10","+2,00%"
"BRFS3","BRF","20.861.800","17,95","-5,38%"
"MRFG3","MRFG3","18.099.800","21,12","-4,61%"
"BRSR5","Banrisul","100","15,75","-1,44%"
"CRPG3","Tronox Pigmentos","1.000","15,00","-11,76%"
"CALI3","Adolpho Lindenberg","100","17,05","+0,00%"
